x,y70,y60,y50,y40,y30,y20,y10
1.181641,2.47E-06,2.11E-06,1.79E-06,1.27E-06,8.06E-07,8.70E-07,-1.33E-07
1.186523,2.53E-06,2.18E-06,1.86E-06,1.34E-06,8.74E-07,9.33E-07,-1.07E-07
1.191406,2.59E-06,2.25E-06,1.94E-06,1.42E-06,9.45E-07,1.00E-06,-7.57E-08
1.196289,2.64E-06,2.31E-06,2.01E-06,1.49E-06,1.02E-06,1.07E-06,-4.37E-08
1.201172,2.69E-06,2.36E-06,2.08E-06,1.56E-06,1.09E-06,1.13E-06,-6.10E-09
1.206055,2.72E-06,2.41E-06,2.14E-06,1.63E-06,1.16E-06,1.20E-06,3.66E-08
1.210938,2.74E-06,2.44E-06,2.19E-06,1.70E-06,1.23E-06,1.27E-06,8.44E-08
1.21582,2.75E-06,2.47E-06,2.24E-06,1.76E-06,1.31E-06,1.34E-06,1.35E-07
1.220703,2.74E-06,2.48E-06,2.27E-06,1.81E-06,1.37E-06,1.40E-06,1.91E-07
1.225586,2.72E-06,2.48E-06,2.29E-06,1.85E-06,1.43E-06,1.46E-06,2.48E-07
1.230469,2.68E-06,2.47E-06,2.30E-06,1.89E-06,1.49E-06,1.52E-06,3.13E-07
1.235352,2.63E-06,2.44E-06,2.30E-06,1.91E-06,1.54E-06,1.58E-06,3.76E-07
1.240234,2.57E-06,2.39E-06,2.28E-06,1.92E-06,1.58E-06,1.62E-06,4.43E-07
1.245117,2.49E-06,2.34E-06,2.24E-06,1.92E-06,1.60E-06,1.66E-06,5.06E-07
1.25,2.40E-06,2.26E-06,2.19E-06,1.90E-06,1.61E-06,1.68E-06,5.68E-07
1.254883,2.31E-06,2.19E-06,2.13E-06,1.86E-06,1.61E-06,1.69E-06,6.30E-07
1.259766,2.21E-06,2.10E-06,2.05E-06,1.81E-06,1.59E-06,1.69E-06,6.83E-07
1.264648,2.11E-06,2.01E-06,1.97E-06,1.75E-06,1.56E-06,1.67E-06,7.29E-07
1.269531,2.02E-06,1.92E-06,1.88E-06,1.68E-06,1.51E-06,1.63E-06,7.66E-07
1.274414,1.94E-06,1.83E-06,1.79E-06,1.60E-06,1.46E-06,1.59E-06,7.95E-07
1.279297,1.86E-06,1.75E-06,1.71E-06,1.53E-06,1.39E-06,1.53E-06,8.12E-07
1.28418,1.80E-06,1.69E-06,1.63E-06,1.45E-06,1.31E-06,1.46E-06,8.15E-07
1.289063,1.75E-06,1.63E-06,1.56E-06,1.37E-06,1.24E-06,1.38E-06,8.07E-07
1.293945,1.73E-06,1.59E-06,1.50E-06,1.31E-06,1.17E-06,1.31E-06,7.83E-07
1.298828,1.72E-06,1.57E-06,1.46E-06,1.25E-06,1.09E-06,1.24E-06,7.46E-07
