E (V),Av. I2 0uL,Av. I2 30uL,Av. I2 40uL,Av. I2 50uL,Av. I2 60uL,Av. I2 70uL
0.1025391,3.38E-07,3.38E-07,3.44E-07,3.51E-07,3.58E-07,3.67E-07
0.1074219,3.46E-07,3.46E-07,3.52E-07,3.6E-07,3.67E-07,3.74E-07
0.1123047,3.55E-07,3.55E-07,3.6E-07,3.69E-07,3.74E-07,3.84E-07
0.1171875,3.63E-07,3.64E-07,3.7E-07,3.78E-07,3.83E-07,3.92E-07
0.1220703,3.72E-07,3.74E-07,3.79E-07,3.86E-07,3.92E-07,4.02E-07
0.1269531,3.81E-07,3.84E-07,3.88E-07,3.95E-07,4.02E-07,4.09E-07
0.1318359,3.91E-07,3.94E-07,3.97E-07,4.03E-07,4.08E-07,4.19E-07
0.1367188,4.01E-07,4.04E-07,4.06E-07,4.12E-07,4.17E-07,4.27E-07
0.1416016,4.11E-07,4.13E-07,4.16E-07,4.21E-07,4.26E-07,4.35E-07
0.1464844,4.22E-07,4.23E-07,4.26E-07,4.31E-07,4.36E-07,4.44E-07
0.1513672,4.33E-07,4.32E-07,4.36E-07,4.4E-07,4.45E-07,4.53E-07
0.15625,4.45E-07,4.43E-07,4.46E-07,4.5E-07,4.54E-07,4.62E-07
0.1611328,4.57E-07,4.53E-07,4.56E-07,4.6E-07,4.64E-07,4.71E-07
0.1660156,4.67E-07,4.63E-07,4.66E-07,4.69E-07,4.72E-07,4.81E-07
0.1708984,4.78E-07,4.72E-07,4.75E-07,4.78E-07,4.82E-07,4.9E-07
0.1757813,4.87E-07,4.82E-07,4.84E-07,4.87E-07,4.91E-07,4.98E-07
0.1806641,4.96E-07,4.9E-07,4.93E-07,4.95E-07,4.98E-07,5.06E-07
0.1855469,5.04E-07,4.98E-07,5.01E-07,5.04E-07,5.08E-07,5.14E-07
0.1904297,5.1E-07,5.05E-07,5.09E-07,5.12E-07,5.15E-07,5.23E-07
0.1953125,5.16E-07,5.12E-07,5.15E-07,5.19E-07,5.23E-07,5.31E-07
0.2001953,5.21E-07,5.18E-07,5.21E-07,5.26E-07,5.31E-07,5.39E-07
0.2050781,5.24E-07,5.24E-07,5.27E-07,5.33E-07,5.39E-07,5.46E-07
0.2099609,5.28E-07,5.29E-07,5.34E-07,5.4E-07,5.46E-07,5.54E-07
0.2148438,5.3E-07,5.36E-07,5.4E-07,5.47E-07,5.54E-07,5.62E-07
0.2197266,5.32E-07,5.42E-07,5.48E-07,5.55E-07,5.61E-07,5.7E-07
0.2246094,5.33E-07,5.47E-07,5.55E-07,5.61E-07,5.7E-07,5.78E-07
0.2294922,5.35E-07,5.52E-07,5.61E-07,5.68E-07,5.76E-07,5.87E-07
0.234375,5.37E-07,5.59E-07,5.68E-07,5.76E-07,5.84E-07,5.95E-07
0.2392578,5.39E-07,5.64E-07,5.76E-07,5.84E-07,5.91E-07,6.04E-07
0.2441406,5.41E-07,5.71E-07,5.83E-07,5.91E-07,5.98E-07,6.12E-07
0.2490234,5.43E-07,5.77E-07,5.9E-07,5.99E-07,6.09E-07,6.22E-07
0.2539063,5.44E-07,5.84E-07,5.98E-07,6.07E-07,6.17E-07,6.3E-07
0.2587891,5.47E-07,5.9E-07,6.07E-07,6.15E-07,6.26E-07,6.39E-07
0.2636719,5.49E-07,5.97E-07,6.13E-07,6.24E-07,6.35E-07,6.48E-07
0.2685547,5.51E-07,6.04E-07,6.22E-07,6.32E-07,6.44E-07,6.58E-07
0.2734375,5.54E-07,6.11E-07,6.29E-07,6.41E-07,6.53E-07,6.68E-07
0.2783203,5.57E-07,6.18E-07,6.38E-07,6.51E-07,6.62E-07,6.77E-07
0.2832031,5.6E-07,6.25E-07,6.46E-07,6.59E-07,6.71E-07,6.86E-07
0.2880859,5.63E-07,6.34E-07,6.54E-07,6.68E-07,6.8E-07,6.96E-07
0.2929688,5.67E-07,6.41E-07,6.63E-07,6.78E-07,6.9E-07,7.06E-07
0.2978516,5.69E-07,6.48E-07,6.71E-07,6.87E-07,6.99E-07,7.17E-07
0.3027344,5.73E-07,6.56E-07,6.79E-07,6.96E-07,7.1E-07,7.24E-07
0.3076172,5.76E-07,6.63E-07,6.87E-07,7.05E-07,7.19E-07,7.33E-07
0.3125,5.79E-07,6.7E-07,6.94E-07,7.14E-07,7.27E-07,7.43E-07
0.3173828,5.82E-07,6.76E-07,7.03E-07,7.22E-07,7.35E-07,7.51E-07
0.3222656,5.86E-07,6.83E-07,7.11E-07,7.3E-07,7.44E-07,7.6E-07
0.3271484,5.87E-07,6.9E-07,7.18E-07,7.38E-07,7.52E-07,7.68E-07
0.3320313,5.9E-07,6.96E-07,7.24E-07,7.45E-07,7.61E-07,7.77E-07
0.3369141,5.93E-07,7.02E-07,7.32E-07,7.53E-07,7.69E-07,7.86E-07
0.3417969,5.96E-07,7.08E-07,7.39E-07,7.6E-07,7.77E-07,7.94E-07
0.3466797,5.98E-07,7.14E-07,7.45E-07,7.67E-07,7.84E-07,8.01E-07
0.3515625,6E-07,7.2E-07,7.51E-07,7.73E-07,7.9E-07,8.09E-07
0.3564453,6.03E-07,7.24E-07,7.57E-07,7.79E-07,7.97E-07,8.16E-07
0.3613281,6.04E-07,7.29E-07,7.62E-07,7.85E-07,8.02E-07,8.23E-07
0.3662109,6.06E-07,7.33E-07,7.69E-07,7.91E-07,8.08E-07,8.29E-07
0.3710938,6.07E-07,7.38E-07,7.73E-07,7.96E-07,8.14E-07,8.35E-07
0.3759766,6.08E-07,7.42E-07,7.79E-07,8.01E-07,8.2E-07,8.41E-07
0.3808594,6.09E-07,7.44E-07,7.83E-07,8.05E-07,8.24E-07,8.44E-07
0.3857422,6.09E-07,7.47E-07,7.87E-07,8.1E-07,8.29E-07,8.5E-07
0.390625,6.1E-07,7.5E-07,7.89E-07,8.14E-07,8.33E-07,8.55E-07
0.3955078,6.1E-07,7.52E-07,7.92E-07,8.17E-07,8.37E-07,8.58E-07
0.4003906,6.1E-07,7.55E-07,7.95E-07,8.2E-07,8.4E-07,8.62E-07
0.4052734,6.1E-07,7.57E-07,7.98E-07,8.22E-07,8.43E-07,8.64E-07
0.4101563,6.1E-07,7.58E-07,7.99E-07,8.24E-07,8.45E-07,8.68E-07
0.4150391,6.1E-07,7.59E-07,8E-07,8.26E-07,8.47E-07,8.71E-07
0.4199219,6.09E-07,7.61E-07,8.01E-07,8.28E-07,8.5E-07,8.71E-07
0.4248047,6.09E-07,7.61E-07,8.03E-07,8.29E-07,8.51E-07,8.74E-07
0.4296875,6.07E-07,7.62E-07,8.04E-07,8.3E-07,8.52E-07,8.74E-07
0.4345703,6.07E-07,7.63E-07,8.04E-07,8.31E-07,8.53E-07,8.76E-07
0.4394531,6.07E-07,7.63E-07,8.04E-07,8.31E-07,8.54E-07,8.77E-07
0.4443359,6.07E-07,7.63E-07,8.04E-07,8.32E-07,8.54E-07,8.77E-07
0.4492188,6.06E-07,7.63E-07,8.04E-07,8.32E-07,8.54E-07,8.77E-07
0.4541016,6.06E-07,7.63E-07,8.05E-07,8.33E-07,8.55E-07,8.78E-07
0.4589844,6.06E-07,7.63E-07,8.05E-07,8.33E-07,8.54E-07,8.78E-07
0.4638672,6.06E-07,7.63E-07,8.05E-07,8.33E-07,8.54E-07,8.78E-07
0.46875,6.07E-07,7.63E-07,8.05E-07,8.33E-07,8.54E-07,8.79E-07
