E (V),Av. I2 0uL,Av. I2 10uL,Av. I2 20uL,Av. I2 30uL,Av. I2 40uL,Av. I2 50uL,Av. I2 60uL,Av. I2 70uL
0.9960938,3.44E-06,3.01E-06,3.06E-06,2.76E-06,2.74E-06,3.11203E-06,3.207245E-06,3.314056E-06
1.000977,3.43E-06,3.02E-06,3.09E-06,2.78E-06,2.76E-06,3.154297E-06,3.258362E-06,3.3744815E-06
1.005859,3.42E-06,3.04E-06,3.11E-06,2.79E-06,2.78E-06,3.1982425E-06,3.3125305E-06,3.4375E-06
1.010742,3.41E-06,3.05E-06,3.14E-06,2.8E-06,2.8E-06,3.2447815E-06,3.369293E-06,3.504181E-06
1.015625,3.4E-06,3.07E-06,3.17E-06,2.82E-06,2.83E-06,3.294678E-06,3.42865E-06,3.572693E-06
1.020508,3.4E-06,3.08E-06,3.2E-06,2.84E-06,2.86E-06,3.346405E-06,3.4902955E-06,3.644104E-06
1.025391,3.4E-06,3.1E-06,3.24E-06,2.87E-06,2.89E-06,3.401184E-06,3.55423E-06,3.716736E-06
1.030273,3.41E-06,3.12E-06,3.28E-06,2.9E-06,2.93E-06,3.458099E-06,3.6206055E-06,3.7924195E-06
1.035156,3.41E-06,3.14E-06,3.32E-06,2.93E-06,2.97E-06,3.5176085E-06,3.690186E-06,3.868561E-06
1.040039,3.43E-06,3.17E-06,3.36E-06,2.96E-06,3.01E-06,3.580017E-06,3.76236E-06,3.9486695E-06
1.044922,3.44E-06,3.19E-06,3.41E-06,3E-06,3.06E-06,3.6450195E-06,3.834839E-06,4.0307615E-06
1.049805,3.46E-06,3.22E-06,3.46E-06,3.04E-06,3.11E-06,3.7130735E-06,3.9123535E-06,4.1166685E-06
1.054688,3.49E-06,3.25E-06,3.52E-06,3.08E-06,3.17E-06,3.782959E-06,3.9901735E-06,4.20578E-06
1.05957,3.53E-06,3.28E-06,3.59E-06,3.13E-06,3.23E-06,3.857422E-06,4.072571E-06,4.296417E-06
1.064453,3.57E-06,3.32E-06,3.65E-06,3.18E-06,3.29E-06,3.9341735E-06,4.1575625E-06,4.389801E-06
1.069336,3.61E-06,3.36E-06,3.73E-06,3.24E-06,3.36E-06,4.0130615E-06,4.247742E-06,4.4854735E-06
1.074219,3.67E-06,3.4E-06,3.81E-06,3.3E-06,3.43E-06,4.096527E-06,4.3411255E-06,4.586029E-06
1.079102,3.74E-06,3.44E-06,3.91E-06,3.37E-06,3.51E-06,4.185028E-06,4.4367985E-06,4.6893315E-06
1.083984,3.82E-06,3.5E-06,4.01E-06,3.44E-06,3.6E-06,4.279785E-06,4.537201E-06,4.7975155E-06
1.088867,3.91E-06,3.55E-06,4.11E-06,3.51E-06,3.69E-06,4.3795775E-06,4.6421815E-06,4.908753E-06
1.09375,4E-06,3.61E-06,4.23E-06,3.6E-06,3.79E-06,4.4841005E-06,4.752045E-06,5.024719E-06
1.098633,4.11E-06,3.68E-06,4.36E-06,3.68E-06,3.89E-06,4.59259E-06,4.866028E-06,5.1483155E-06
1.103516,4.23E-06,3.75E-06,4.5E-06,3.78E-06,4E-06,4.7058105E-06,4.986572E-06,5.278015E-06
1.108398,4.36E-06,3.82E-06,4.65E-06,3.88E-06,4.12E-06,4.8260495E-06,5.116272E-06,5.4122925E-06
1.113281,4.5E-06,3.91E-06,4.81E-06,3.99E-06,4.25E-06,4.9534605E-06,5.2474975E-06,5.552673E-06
1.118164,4.67E-06,4E-06,4.97E-06,4.1E-06,4.38E-06,5.0872805E-06,5.3878785E-06,5.697632E-06
1.123047,4.83E-06,4.09E-06,5.15E-06,4.22E-06,4.51E-06,5.2276615E-06,5.532837E-06,5.8502195E-06
1.12793,5E-06,4.19E-06,5.33E-06,4.35E-06,4.66E-06,5.3756715E-06,5.685425E-06,6.010437E-06
1.132813,5.19E-06,4.3E-06,5.52E-06,4.48E-06,4.82E-06,5.526733E-06,5.84259E-06,6.1752315E-06
1.137695,5.38E-06,4.41E-06,5.72E-06,4.62E-06,4.98E-06,5.6884765E-06,6.0073855E-06,6.3461305E-06
1.142578,5.58E-06,4.53E-06,5.93E-06,4.77E-06,5.15E-06,5.8532715E-06,6.176758E-06,6.5216065E-06
1.147461,5.78E-06,4.65E-06,6.13E-06,4.92E-06,5.33E-06,6.027222E-06,6.352234E-06,6.7031865E-06
1.152344,5.98E-06,4.79E-06,6.35E-06,5.09E-06,5.5E-06,6.2042235E-06,6.5338135E-06,6.8878175E-06
1.157227,6.2E-06,4.92E-06,6.56E-06,5.26E-06,5.69E-06,6.385803E-06,6.7184445E-06,7.0770265E-06
1.162109,6.41E-06,5.06E-06,6.78E-06,5.43E-06,5.88E-06,6.5734865E-06,6.9076535E-06,7.269287E-06
1.166992,6.62E-06,5.2E-06,7E-06,5.61E-06,6.08E-06,6.7642215E-06,7.096863E-06,7.4600215E-06
1.171875,6.83E-06,5.35E-06,7.22E-06,5.79E-06,6.28E-06,6.958008E-06,7.2891235E-06,7.653808E-06
1.176758,7.04E-06,5.5E-06,7.44E-06,5.98E-06,6.48E-06,7.1533205E-06,7.4813845E-06,7.844543E-06
1.181641,7.24E-06,5.66E-06,7.65E-06,6.17E-06,6.69E-06,7.350159E-06,7.6721195E-06,8.0307E-06
1.186523,7.45E-06,5.82E-06,7.87E-06,6.37E-06,6.89E-06,7.545471E-06,7.859802E-06,8.215332E-06
1.191406,7.64E-06,5.98E-06,8.08E-06,6.57E-06,7.1E-06,7.737732E-06,8.0444335E-06,8.3923335E-06
1.196289,7.82E-06,6.15E-06,8.29E-06,6.77E-06,7.3E-06,7.926941E-06,8.2244875E-06,8.5601805E-06
1.201172,8E-06,6.31E-06,8.49E-06,6.96E-06,7.5E-06,8.110047E-06,8.39386E-06,8.7188715E-06
1.206055,8.17E-06,6.48E-06,8.69E-06,7.17E-06,7.7E-06,8.287048E-06,8.5540765E-06,8.8653565E-06
1.210938,8.33E-06,6.66E-06,8.88E-06,7.36E-06,7.89E-06,8.453369E-06,8.7036135E-06,8.998108E-06
1.21582,8.47E-06,6.84E-06,9.07E-06,7.55E-06,8.07E-06,8.605957E-06,8.8378905E-06,9.117126E-06
1.220703,8.6E-06,7.02E-06,9.24E-06,7.74E-06,8.24E-06,8.747864E-06,8.958435E-06,9.2163085E-06
1.225586,8.72E-06,7.2E-06,9.41E-06,7.92E-06,8.39E-06,8.8729855E-06,9.0621945E-06,9.298706E-06
1.230469,8.82E-06,7.38E-06,9.56E-06,8.09E-06,8.54E-06,8.984375E-06,9.147644E-06,9.364319E-06
1.235352,8.91E-06,7.57E-06,9.71E-06,8.25E-06,8.66E-06,9.0759275E-06,9.2147825E-06,9.4100955E-06
1.240234,8.99E-06,7.75E-06,9.84E-06,8.39E-06,8.77E-06,9.1491695E-06,9.2651365E-06,9.439087E-06
1.245117,9.06E-06,7.94E-06,9.95E-06,8.52E-06,8.87E-06,9.204102E-06,9.298706E-06,9.449768E-06
1.25,9.12E-06,8.12E-06,1E-05,8.63E-06,8.94E-06,9.242249E-06,9.315491E-06,9.4512935E-06
1.254883,9.17E-06,8.31E-06,1.01E-05,8.73E-06,8.99E-06,9.263611E-06,9.321594E-06,9.4451905E-06
1.259766,9.21E-06,8.49E-06,1.02E-05,8.8E-06,9.02E-06,9.2727665E-06,9.318542E-06,9.429932E-06
1.264648,9.26E-06,8.66E-06,1.02E-05,8.86E-06,9.05E-06,9.2727665E-06,9.312439E-06,9.416199E-06
1.269531,9.3E-06,8.84E-06,1.02E-05,8.91E-06,9.05E-06,9.2681885E-06,9.3063355E-06,9.407044E-06
1.274414,9.34E-06,9.01E-06,1.02E-05,8.94E-06,9.06E-06,9.266663E-06,9.3063355E-06,9.4085695E-06
1.279297,9.39E-06,9.16E-06,1.02E-05,8.95E-06,9.06E-06,9.2697145E-06,9.3170165E-06,9.4223025E-06
1.28418,9.45E-06,9.31E-06,1.02E-05,8.97E-06,9.07E-06,9.2834475E-06,9.341431E-06,9.455872E-06
1.289063,9.52E-06,9.45E-06,1.02E-05,8.98E-06,9.08E-06,9.3139645E-06,9.3872075E-06,9.510803E-06
1.293945,9.61E-06,9.57E-06,1.02E-05,9E-06,9.11E-06,9.365845E-06,9.4558715E-06,9.593201E-06
1.298828,9.71E-06,9.67E-06,1.02E-05,9.03E-06,9.16E-06,9.4421385E-06,9.5520015E-06,9.703064E-06
