E (V),Av. I2 0uL,Av. I2 30uL,Av. I2 40uL,Av. I2 50uL,Av. I2 60uL,Av. I2 70uL
0.3222656,4.61E-07,5.84E-07,6.37E-07,6.9E-07,7.42E-07,7.97E-07
0.3271484,4.62E-07,5.93E-07,6.46E-07,7.02E-07,7.57E-07,8.15E-07
0.3320313,4.65E-07,6.02E-07,6.56E-07,7.14E-07,7.75E-07,8.36E-07
0.3369141,4.68E-07,6.11E-07,6.66E-07,7.28E-07,7.91E-07,8.58E-07
0.3417969,4.7E-07,6.22E-07,6.76E-07,7.44E-07,8.1E-07,8.8E-07
0.3466797,4.73E-07,6.31E-07,6.87E-07,7.6E-07,8.29E-07,9.04E-07
0.3515625,4.76E-07,6.43E-07,6.98E-07,7.74E-07,8.49E-07,9.28E-07
0.3564453,4.79E-07,6.54E-07,7.1E-07,7.89E-07,8.69E-07,9.54E-07
0.3613281,4.81E-07,6.65E-07,7.22E-07,8.06E-07,8.91E-07,9.81E-07
0.3662109,4.83E-07,6.76E-07,7.37E-07,8.22E-07,9.15E-07,1.01E-06
0.3710938,4.86E-07,6.88E-07,7.5E-07,8.41E-07,9.38E-07,1.04E-06
0.3759766,4.87E-07,6.99E-07,7.62E-07,8.6E-07,9.62E-07,1.07E-06
0.3808594,4.9E-07,7.12E-07,7.77E-07,8.79E-07,9.87E-07,1.1E-06
0.3857422,4.91E-07,7.23E-07,7.91E-07,8.98E-07,1.01E-06,1.13E-06
0.390625,4.91E-07,7.36E-07,8.04E-07,9.19E-07,1.04E-06,1.16E-06
0.3955078,4.92E-07,7.49E-07,8.18E-07,9.4E-07,1.06E-06,1.19E-06
0.4003906,4.94E-07,7.6E-07,8.33E-07,9.57E-07,1.09E-06,1.22E-06
0.4052734,4.94E-07,7.73E-07,8.48E-07,9.78E-07,1.11E-06,1.25E-06
0.4101563,4.96E-07,7.85E-07,8.63E-07,9.98E-07,1.14E-06,1.28E-06
0.4150391,4.96E-07,7.96E-07,8.75E-07,1.02E-06,1.16E-06,1.31E-06
0.4199219,4.98E-07,8.07E-07,8.88E-07,1.03E-06,1.19E-06,1.34E-06
0.4248047,4.98E-07,8.18E-07,9.01E-07,1.05E-06,1.21E-06,1.37E-06
0.4296875,4.99E-07,8.28E-07,9.14E-07,1.07E-06,1.23E-06,1.4E-06
0.4345703,4.99E-07,8.39E-07,9.26E-07,1.09E-06,1.25E-06,1.42E-06
0.4394531,5E-07,8.49E-07,9.38E-07,1.11E-06,1.28E-06,1.45E-06
0.4443359,5.01E-07,8.59E-07,9.51E-07,1.12E-06,1.3E-06,1.48E-06
0.4492188,5.01E-07,8.68E-07,9.62E-07,1.14E-06,1.32E-06,1.51E-06
0.4541016,5.02E-07,8.79E-07,9.74E-07,1.16E-06,1.35E-06,1.54E-06
0.4589844,5.03E-07,8.9E-07,9.84E-07,1.18E-06,1.38E-06,1.58E-06
0.4638672,5.05E-07,9.01E-07,9.97E-07,1.2E-06,1.4E-06,1.61E-06
0.46875,5.08E-07,9.13E-07,1.01E-06,1.22E-06,1.43E-06,1.65E-06
0.4736328,5.1E-07,9.25E-07,1.02E-06,1.24E-06,1.46E-06,1.69E-06
0.4785156,5.14E-07,9.38E-07,1.04E-06,1.26E-06,1.5E-06,1.74E-06
0.4833984,5.2E-07,9.53E-07,1.05E-06,1.29E-06,1.53E-06,1.78E-06
0.4882813,5.25E-07,9.7E-07,1.07E-06,1.32E-06,1.58E-06,1.83E-06
0.4931641,5.3E-07,9.87E-07,1.09E-06,1.35E-06,1.62E-06,1.89E-06
0.4980469,5.39E-07,1.01E-06,1.11E-06,1.38E-06,1.66E-06,1.95E-06
0.5029297,5.48E-07,1.03E-06,1.14E-06,1.42E-06,1.71E-06,2.01E-06
0.5078125,5.58E-07,1.05E-06,1.16E-06,1.46E-06,1.76E-06,2.07E-06
0.5126953,5.69E-07,1.07E-06,1.18E-06,1.5E-06,1.82E-06,2.13E-06
0.5175781,5.8E-07,1.1E-06,1.21E-06,1.54E-06,1.87E-06,2.19E-06
0.5224609,5.93E-07,1.12E-06,1.24E-06,1.59E-06,1.92E-06,2.24E-06
0.5273438,6.06E-07,1.15E-06,1.27E-06,1.63E-06,1.97E-06,2.3E-06
0.5322266,6.2E-07,1.18E-06,1.31E-06,1.67E-06,2.02E-06,2.34E-06
0.5371094,6.35E-07,1.2E-06,1.34E-06,1.71E-06,2.06E-06,2.39E-06
0.5419922,6.51E-07,1.23E-06,1.37E-06,1.76E-06,2.11E-06,2.43E-06
0.546875,6.68E-07,1.25E-06,1.41E-06,1.79E-06,2.15E-06,2.47E-06
0.5517578,6.87E-07,1.28E-06,1.44E-06,1.83E-06,2.18E-06,2.5E-06
0.5566406,7.07E-07,1.31E-06,1.47E-06,1.87E-06,2.22E-06,2.54E-06
0.5615234,7.24E-07,1.34E-06,1.51E-06,1.91E-06,2.26E-06,2.57E-06
0.5664063,7.46E-07,1.37E-06,1.55E-06,1.94E-06,2.29E-06,2.6E-06
0.5712891,7.7E-07,1.4E-06,1.58E-06,1.98E-06,2.33E-06,2.64E-06
0.5761719,7.95E-07,1.43E-06,1.62E-06,2.02E-06,2.37E-06,2.67E-06
0.5810547,8.21E-07,1.47E-06,1.66E-06,2.06E-06,2.4E-06,2.7E-06
0.5859375,8.49E-07,1.5E-06,1.7E-06,2.1E-06,2.44E-06,2.73E-06
0.5908203,8.78E-07,1.54E-06,1.74E-06,2.14E-06,2.48E-06,2.76E-06
0.5957031,9.09E-07,1.58E-06,1.79E-06,2.18E-06,2.51E-06,2.79E-06
0.6005859,9.4E-07,1.62E-06,1.83E-06,2.22E-06,2.55E-06,2.82E-06
0.6054688,9.74E-07,1.66E-06,1.88E-06,2.27E-06,2.59E-06,2.85E-06
0.6103516,1.01E-06,1.7E-06,1.92E-06,2.31E-06,2.62E-06,2.88E-06
0.6152344,1.04E-06,1.75E-06,1.97E-06,2.35E-06,2.65E-06,2.91E-06
0.6201172,1.08E-06,1.79E-06,2.01E-06,2.39E-06,2.69E-06,2.93E-06
0.625,1.12E-06,1.83E-06,2.06E-06,2.43E-06,2.72E-06,2.96E-06
0.6298828,1.16E-06,1.88E-06,2.1E-06,2.47E-06,2.75E-06,2.99E-06
0.6347656,1.2E-06,1.92E-06,2.15E-06,2.5E-06,2.78E-06,3.01E-06
0.6396484,1.24E-06,1.97E-06,2.19E-06,2.54E-06,2.81E-06,3.03E-06
0.6445313,1.28E-06,2.01E-06,2.23E-06,2.57E-06,2.84E-06,3.05E-06
0.6494141,1.33E-06,2.06E-06,2.27E-06,2.61E-06,2.87E-06,3.08E-06
0.6542969,1.37E-06,2.1E-06,2.32E-06,2.64E-06,2.89E-06,3.09E-06
0.6591797,1.41E-06,2.14E-06,2.36E-06,2.67E-06,2.92E-06,3.11E-06
0.6640625,1.46E-06,2.19E-06,2.4E-06,2.7E-06,2.94E-06,3.12E-06
0.6689453,1.5E-06,2.23E-06,2.44E-06,2.73E-06,2.96E-06,3.14E-06
0.6738281,1.55E-06,2.27E-06,2.48E-06,2.76E-06,2.98E-06,3.15E-06
0.6787109,1.6E-06,2.31E-06,2.52E-06,2.79E-06,3E-06,3.16E-06
0.6835938,1.65E-06,2.35E-06,2.55E-06,2.82E-06,3.02E-06,3.17E-06
0.6884766,1.7E-06,2.39E-06,2.59E-06,2.84E-06,3.03E-06,3.18E-06
0.6933594,1.75E-06,2.44E-06,2.63E-06,2.87E-06,3.05E-06,3.19E-06
0.6982422,1.8E-06,2.48E-06,2.67E-06,2.9E-06,3.07E-06,3.2E-06
0.703125,1.86E-06,2.52E-06,2.71E-06,2.92E-06,3.09E-06,3.21E-06
0.7080078,1.91E-06,2.57E-06,2.75E-06,2.96E-06,3.11E-06,3.23E-06
0.7128906,1.97E-06,2.62E-06,2.79E-06,2.99E-06,3.14E-06,3.24E-06
0.7177734,2.03E-06,2.66E-06,2.84E-06,3.02E-06,3.16E-06,3.26E-06
0.7226563,2.1E-06,2.71E-06,2.88E-06,3.06E-06,3.19E-06,3.28E-06
0.7275391,2.16E-06,2.76E-06,2.93E-06,3.09E-06,3.21E-06,3.3E-06
0.7324219,2.23E-06,2.81E-06,2.98E-06,3.13E-06,3.24E-06,3.32E-06
0.7373047,2.31E-06,2.87E-06,3.02E-06,3.17E-06,3.27E-06,3.34E-06
0.7421875,2.38E-06,2.92E-06,3.07E-06,3.2E-06,3.29E-06,3.35E-06
0.7470703,2.46E-06,2.97E-06,3.12E-06,3.24E-06,3.32E-06,3.37E-06
0.7519531,2.54E-06,3.02E-06,3.17E-06,3.27E-06,3.34E-06,3.38E-06
0.7568359,2.62E-06,3.07E-06,3.21E-06,3.31E-06,3.36E-06,3.38E-06
0.7617188,2.7E-06,3.12E-06,3.26E-06,3.33E-06,3.38E-06,3.39E-06
0.7666016,2.78E-06,3.16E-06,3.3E-06,3.36E-06,3.39E-06,3.39E-06
0.7714844,2.87E-06,3.21E-06,3.33E-06,3.38E-06,3.39E-06,3.38E-06
0.7763672,2.94E-06,3.25E-06,3.37E-06,3.4E-06,3.4E-06,3.37E-06
0.78125,3.02E-06,3.28E-06,3.39E-06,3.41E-06,3.39E-06,3.36E-06
0.7861328,3.09E-06,3.31E-06,3.42E-06,3.41E-06,3.39E-06,3.34E-06
0.7910156,3.16E-06,3.33E-06,3.43E-06,3.41E-06,3.37E-06,3.32E-06
0.7958984,3.23E-06,3.35E-06,3.45E-06,3.41E-06,3.36E-06,3.29E-06
0.8007813,3.29E-06,3.36E-06,3.45E-06,3.4E-06,3.33E-06,3.26E-06
0.8056641,3.34E-06,3.37E-06,3.45E-06,3.39E-06,3.31E-06,3.23E-06
0.8105469,3.39E-06,3.38E-06,3.45E-06,3.37E-06,3.28E-06,3.19E-06
0.8154297,3.43E-06,3.38E-06,3.44E-06,3.35E-06,3.25E-06,3.15E-06
0.8203125,3.47E-06,3.37E-06,3.43E-06,3.32E-06,3.21E-06,3.11E-06
0.8251953,3.5E-06,3.37E-06,3.42E-06,3.3E-06,3.18E-06,3.07E-06
0.8300781,3.52E-06,3.36E-06,3.4E-06,3.26E-06,3.14E-06,3.03E-06
0.8349609,3.54E-06,3.34E-06,3.37E-06,3.23E-06,3.1E-06,2.98E-06
0.8398438,3.56E-06,3.32E-06,3.35E-06,3.2E-06,3.06E-06,2.94E-06
0.8447266,3.57E-06,3.31E-06,3.33E-06,3.16E-06,3.02E-06,2.9E-06
0.8496094,3.58E-06,3.29E-06,3.3E-06,3.13E-06,2.98E-06,2.86E-06
0.8544922,3.58E-06,3.26E-06,3.27E-06,3.09E-06,2.94E-06,2.82E-06
0.859375,3.58E-06,3.24E-06,3.24E-06,3.06E-06,2.9E-06,2.78E-06
0.8642578,3.57E-06,3.21E-06,3.21E-06,3.02E-06,2.87E-06,2.74E-06
0.8691406,3.56E-06,3.19E-06,3.18E-06,2.98E-06,2.83E-06,2.71E-06
0.8740234,3.55E-06,3.16E-06,3.14E-06,2.95E-06,2.79E-06,2.67E-06
0.8789063,3.54E-06,3.14E-06,3.11E-06,2.91E-06,2.76E-06,2.64E-06
0.8837891,3.52E-06,3.11E-06,3.08E-06,2.88E-06,2.72E-06,2.61E-06
0.8886719,3.51E-06,3.08E-06,3.05E-06,2.85E-06,2.69E-06,2.58E-06
