E (V),Av. I2 0uL,Av. I2 30uL,Av. I2 40uL,Av. I2 50uL,Av. I2 60uL,Av. I2 70uL
1.083984,3.34E-06,3.19E-06,3.19E-06,3.27E-06,3.46E-06,3.68E-06
1.088867,3.34E-06,3.23E-06,3.23E-06,3.33E-06,3.53E-06,3.76E-06
1.09375,3.35E-06,3.26E-06,3.28E-06,3.38E-06,3.6E-06,3.84E-06
1.098633,3.36E-06,3.3E-06,3.33E-06,3.45E-06,3.68E-06,3.93E-06
1.103516,3.37E-06,3.34E-06,3.38E-06,3.51E-06,3.76E-06,4.03E-06
1.108398,3.39E-06,3.39E-06,3.43E-06,3.58E-06,3.85E-06,4.12E-06
1.113281,3.4E-06,3.43E-06,3.49E-06,3.65E-06,3.94E-06,4.22E-06
1.118164,3.42E-06,3.48E-06,3.56E-06,3.72E-06,4.03E-06,4.33E-06
1.123047,3.44E-06,3.53E-06,3.62E-06,3.8E-06,4.13E-06,4.44E-06
1.12793,3.47E-06,3.59E-06,3.69E-06,3.89E-06,4.23E-06,4.56E-06
1.132813,3.49E-06,3.64E-06,3.76E-06,3.97E-06,4.34E-06,4.68E-06
1.137695,3.52E-06,3.7E-06,3.84E-06,4.07E-06,4.45E-06,4.81E-06
1.142578,3.55E-06,3.77E-06,3.92E-06,4.16E-06,4.56E-06,4.94E-06
1.147461,3.58E-06,3.83E-06,4E-06,4.26E-06,4.69E-06,5.07E-06
1.152344,3.62E-06,3.9E-06,4.09E-06,4.37E-06,4.82E-06,5.21E-06
1.157227,3.66E-06,3.98E-06,4.18E-06,4.48E-06,4.95E-06,5.35E-06
1.162109,3.7E-06,4.05E-06,4.28E-06,4.59E-06,5.08E-06,5.49E-06
1.166992,3.74E-06,4.13E-06,4.38E-06,4.71E-06,5.22E-06,5.64E-06
1.171875,3.79E-06,4.22E-06,4.48E-06,4.84E-06,5.36E-06,5.79E-06
1.176758,3.84E-06,4.3E-06,4.59E-06,4.97E-06,5.5E-06,5.93E-06
1.181641,3.89E-06,4.39E-06,4.7E-06,5.09E-06,5.64E-06,6.08E-06
1.186523,3.95E-06,4.49E-06,4.82E-06,5.23E-06,5.78E-06,6.23E-06
1.191406,4.01E-06,4.58E-06,4.94E-06,5.36E-06,5.93E-06,6.37E-06
1.196289,4.07E-06,4.69E-06,5.06E-06,5.5E-06,6.07E-06,6.52E-06
1.201172,4.13E-06,4.79E-06,5.18E-06,5.63E-06,6.21E-06,6.65E-06
1.206055,4.2E-06,4.9E-06,5.31E-06,5.77E-06,6.35E-06,6.79E-06
1.210938,4.27E-06,5.01E-06,5.44E-06,5.91E-06,6.49E-06,6.91E-06
1.21582,4.34E-06,5.12E-06,5.56E-06,6.05E-06,6.62E-06,7.03E-06
1.220703,4.42E-06,5.24E-06,5.69E-06,6.18E-06,6.74E-06,7.15E-06
1.225586,4.5E-06,5.35E-06,5.82E-06,6.31E-06,6.86E-06,7.25E-06
1.230469,4.58E-06,5.47E-06,5.95E-06,6.44E-06,6.98E-06,7.35E-06
1.235352,4.66E-06,5.59E-06,6.07E-06,6.56E-06,7.09E-06,7.44E-06
